"Construction Statistics from Approved Building Permits"

"Year","Period","Geolocation","Total Number","Total Floor area","Total Value","Residential Number","Residential Floor area","Residential Value","Non-residential Number","Non-residential Floor area","Non-residential Value","Additions Number","Additions Floor area","Additions Value","Alterations/Repairs/Renovations Number","Alterations/Repairs/Renovations Floor area","Alterations/Repairs/Renovations Value","Demolitions Number","Demolitions Floor area","Demolitions Value","Street furnitures... Number","Street furnitures... Floor area","Street furnitures... Value"
"2012","Quarter 2","..Region XI (Davao Region)",2575,301555,4017623,1843,162033,1794875,327,119128,1883211,111,20394,119226,294,..,220309,1,..,160,10,..,8498
"2012","Quarter 2","..Region XII (SOCCSKSARGEN)",747,123653,731725,484,41855,263361,202,79819,439110,15,1979,7979,46,..,21274,..,..,..,3,..,2629
"2012","Quarter 2","..Region XIII (Caraga)",819,77162,490623,589,40361,221901,127,35283,242293,16,1518,7898,87,..,18529,3,..,307,18,..,268842
"2012","Quarter 2","..Autonomous Region in Muslim Mindanao (ARMM)",57,7134,48465,49,5229,38411,5,1530,6854,2,375,3019,1,..,180,..,..,..,1,..,80
"2012","Quarter 2","..Negros Island Region",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"2012","Quarter 3","PHILIPPINES",29070,6759046,69223503,20795,3461767,33565690,3956,3104493,29902920,1410,192786,1862722,2909,..,3892170,92,..,11165,321,..,144481
"2012","Quarter 3","..National Capital Region (NCR)",3432,2285597,31117491,1832,1262152,16812278,372,963589,11910733,188,59856,538008,1040,..,1856471,81,..,7935,58,..,15499
"2012","Quarter 3","..Cordillera Administrative Region (CAR)",271,62134,653254,186,39986,445905,53,19291,153219,16,2857,41362,16,..,12766,..,..,..,..,..,..
"2012","Quarter 3","..Region I (Ilocos Region)",1400,166165,1464444,1050,97542,766455,203,59793,484627,63,8830,91973,84,..,121387,..,..,..,39,..,4698
"2012","Quarter 3","..Region II (Cagayan Valley)",660,92150,741969,485,38439,292333,94,52830,415920,5,881,6731,76,..,26984,1,..,29,4,..,514
"2012","Quarter 3","..Region III (Central Luzon)",3049,689158,5069794,2251,379286,2599606,419,293986,2145163,139,15886,98865,240,..,226160,2,..,901,22,..,30787
"2012","Quarter 3","..Region IV-A (CALABARZON)",6768,1043769,9815525,5075,681421,5481209,591,303485,2972876,691,58863,751210,411,..,610229,4,..,1165,83,..,40089
"2012","Quarter 3","..MIMAROPA Region",442,62113,663060,288,26011,212602,117,33812,335006,13,2290,9982,24,..,105469,..,..,..,2,..,680
"2012","Quarter 3","..Region V (Bicol Region)",686,116109,744135,532,62051,354147,95,51145,310209,12,2913,8497,47,..,71280,..,..,..,1,..,1336
"2012","Quarter 3","..Region VI (Western Visayas)",1654,278945,2435891,1329,150864,1320384,214,123107,975574,23,4974,35435,88,..,104496,..,..,..,19,..,22426
"2012","Quarter 3","..Region VII (Central Visayas)",3581,988561,8026838,2769,331762,2288433,601,648341,5522901,63,8458,105112,148,..,110391,..,..,..,16,..,7641
"2012","Quarter 3","..Region VIII (Eastern Visayas)",566,115881,883301,347,45492,364258,138,68102,445905,17,2287,14159,64,..,58976,1,..,70,24,..,5106
"2012","Quarter 3","..Region IX (Zamboanga Peninsula)",1089,109969,764604,781,49109,315701,185,58796,404004,49,2064,12504,74,..,32394,..,..,..,..,..,..
"2012","Quarter 3","..Region X (Northern Mindanao)",1692,185500,1656723,1336,108175,798190,214,74789,710745,34,2536,25612,108,..,122175,..,..,..,10,..,3886
"2012","Quarter 3","..Region XI (Davao Region)",2300,378206,3908377,1534,109676,1044448,330,252119,2442114,70,16411,110233,366,..,311581,1,..,53,18,..,5550
"2012","Quarter 3","..Region XII (SOCCSKSARGEN)",634,94365,651374,381,29418,189688,184,63946,377244,7,1001,3554,62,..,80886,..,..,..,5,..,2951
"2012","Quarter 3","..Region XIII (Caraga)",798,79430,577253,575,41565,238191,143,35235,289462,19,2630,9081,61,..,40516,1,..,10,19,..,3211
"2012","Quarter 3","..Autonomous Region in Muslim Mindanao (ARMM)",48,10994,49461,44,8818,41855,3,2127,7210,1,49,396,..,..,..,1,..,1000,1,..,100
"2012","Quarter 3","..Negros Island Region",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"2012","Quarter 4","PHILIPPINES",28720,6950426,72365295,20691,4039387,39705780,3522,2694814,26364253,1261,216225,1365965,3246,..,4929295,124,..,10733,303,..,176656
"2012","Quarter 4","..National Capital Region (NCR)",3552,2870230,36878050,1692,1931052,23795217,336,888780,9541790,186,50398,429559,1338,..,3111483,108,..,4189,58,..,15484
"2012","Quarter 4","..Cordillera Administrative Region (CAR)",287,78028,774536,200,38267,414465,47,37473,326344,23,2288,19288,17,..,14437,..,..,..,2,..,1114
"2012","Quarter 4","..Region I (Ilocos Region)",1678,180323,1536135,1267,120763,975446,252,55465,450007,65,4095,30680,94,..,80000,..,..,..,38,..,10981
"2012","Quarter 4","..Region II (Cagayan Valley)",588,181557,1812571,430,35182,279715,97,140645,1433982,10,5730,36472,51,..,62400,..,..,..,1,..,150
"2012","Quarter 4","..Region III (Central Luzon)",2697,627920,5725769,1868,274531,2142699,399,305829,3201841,187,47560,169927,243,..,211299,3,..,2252,50,..,32462
"2012","Quarter 4","..Region IV-A (CALABARZON)",7475,1272737,10841283,5962,790072,5739595,588,416167,3992703,561,66498,435638,364,..,673344,6,..,3566,73,..,51838
"2012","Quarter 4","..MIMAROPA Region",494,60082,424958,354,27571,203598,85,22423,156471,3,10088,32219,52,..,32668,..,..,..,2,..,16628
"2012","Quarter 4","..Region V (Bicol Region)",932,158603,1039300,724,71316,417093,131,85714,536424,12,1573,11042,65,..,74738,..,..,..,1,..,55
"2012","Quarter 4","..Region VI (Western Visayas)",1406,224684,2050935,1070,123581,1053358,189,96676,800733,25,4427,29642,122,..,167201,3,..,467,26,..,9715
"2012","Quarter 4","..Region VII (Central Visayas)",2990,495947,4469537,2356,261884,1885797,418,228862,2470094,52,5201,44379,164,..,69265,2,..,67,10,..,7422
"2012","Quarter 4","..Region VIII (Eastern Visayas)",517,81598,633507,307,44019,323549,115,36952,238891,11,627,4802,84,..,66263,2,..,190,8,..,1047
"2012","Quarter 4","..Region IX (Zamboanga Peninsula)",736,64542,674693,495,28234,187195,128,35095,447662,33,1213,6120,80,..,33714,..,..,..,4,..,2705
"2012","Quarter 4","..Region X (Northern Mindanao)",2070,206452,1702693,1724,118149,899987,186,85312,693620,22,2991,24006,138,..,85078,..,..,..,4,..,750
"2012","Quarter 4","..Region XI (Davao Region)",1936,193104,2525603,1346,100767,956291,258,83750,1299637,47,8587,64189,285,..,205484,..,..,..,12,..,9069
"2012","Quarter 4","..Region XII (SOCCSKSARGEN)",643,152298,765284,409,34759,218262,199,115454,530349,12,2085,10686,23,..,5986,..,..,..,4,..,7155
"2012","Quarter 4","..Region XIII (Caraga)",674,94532,483755,446,31561,189617,91,60107,241476,12,2864,17308,125,..,35352,..,..,..,10,..,10072
"2012","Quarter 4","..Autonomous Region in Muslim Mindanao (ARMM)",45,7789,26679,41,7679,23886,3,110,2220,..,..,..,1,..,573,..,..,..,..,..,..
"2012","Quarter 4","..Negros Island Region",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"2011","Annual","PHILIPPINES",112881,21322622,212975571,81537,11674389,100220969,14881,8875138,89952721,5677,773095,8048500,10786,..,14753380,381,..,27261,1195,..,865623
"2011","Annual","..National Capital Region (NCR)",13378,6289319,87585168,6866,3897360,42803886,1496,2189126,35611325,795,202833,1725732,4221,..,7444223,328,..,16652,264,..,303261
"2011","Annual","..Cordillera Administrative Region (CAR)",1282,278036,2528840,887,150905,1303441,209,117717,1066953,116,9414,69935,70,..,88510,..,..,..,3,..,2261
"2011","Annual","..Region I (Ilocos Region)",7489,854900,6609814,5888,551006,4063548,1010,283731,2033027,256,20163,161932,335,..,351305,3,..,1000,201,..,49142
"2011","Annual","..Region II (Cagayan Valley)",2501,299914,2318569,1847,157295,1148727,350,119879,990411,93,22740,108481,211,..,70948,5,..,176,9,..,10666
"2011","Annual","..Region III (Central Luzon)",11987,2334747,18000012,8708,1243575,9368502,1685,999935,7078931,473,91237,543476,1121,..,1009101,8,..,2335,98,..,45705
"2011","Annual","..Region IV-A (CALABARZON)",24887,3710285,33302167,18287,2205231,17293406,2155,1282824,10671290,2794,222230,4023127,1651,..,1314344,8,..,5559,252,..,171171
"2011","Annual","..MIMAROPA Region",1887,298905,2903118,1310,140183,1001521,495,153178,1836073,37,5544,42992,45,..,22532,1,..,86,4,..,6784
"2011","Annual","..Region V (Bicol Region)",2657,485079,3622938,2037,247024,1485468,402,231605,1869289,29,6450,56947,189,..,211232,..,..,..,6,..,4847
"2011","Annual","..Region VI (Western Visayas)",5648,831984,8443378,4271,500289,4140372,906,316197,2394795,85,15498,101503,386,..,1806707,12,..,332,134,..,45724
"2011","Annual","..Region VII (Central Visayas)",13097,2697584,19046631,10385,1142527,7710987,2031,1510757,10590026,215,44300,318047,466,..,427569,7,..,241,88,..,41469
"2011","Annual","..Region VIII (Eastern Visayas)",2323,357804,3387620,1424,159520,1202064,507,188751,1798868,76,9533,70059,316,..,316627,1,..,100,30,..,36973
"2011","Annual","..Region IX (Zamboanga Peninsula)",3174,269648,1809452,2353,144520,875691,580,116834,816660,82,8294,57692,159,..,59408,..,..,..,3,..,5259
"2011","Annual","..Region X (Northern Mindanao)",6360,740082,7787848,5146,356492,2441711,737,369911,4866884,104,13679,148429,373,..,330823,..,..,..,23,..,18593
"2011","Annual","..Region XI (Davao Region)",9985,1083270,9878193,7635,468846,3634031,1086,536026,4674352,374,78398,494107,890,..,1075702,6,..,715,32,..,25152
"2011","Annual","..Region XII (SOCCSKSARGEN)",2307,408129,2784945,1373,127103,857266,673,267648,1718583,59,13378,77962,202,..,131132,1,..,10,11,..,8197
"2011","Annual","..Region XIII (Caraga)",3656,358428,2873159,2888,165285,828663,543,184095,1911771,85,9048,44976,140,..,87748,1,..,50,35,..,89628
"2011","Annual","..Autonomous Region in Muslim Mindanao (ARMM)",263,24508,93710,232,17228,61677,16,6924,23475,4,356,3094,11,..,5462,..,..,..,2,..,783
"2011","Annual","..Negros Island Region",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"2011","Quarter 1","PHILIPPINES",30054,5879002,57319236,22064,3382564,29135012,3798,2325582,22875113,1526,170856,1246740,2666,..,4062370,86,..,2619,284,..,267020
"2011","Quarter 1","..National Capital Region (NCR)",3797,2071031,25661167,2011,1368711,14487784,372,667935,9108233,225,34385,354740,1189,..,1710408,77,..,2015,66,..,188722
"2011","Quarter 1","..Cordillera Administrative Region (CAR)",375,71297,607993,231,38917,339166,54,30291,242125,74,2089,13727,16,..,12972,..,..,..,2,..,2137
"2011","Quarter 1","..Region I (Ilocos Region)",2175,239552,1817980,1742,160838,1132602,291,73439,488919,60,5275,34092,82,..,162366,..,..,..,56,..,17414
"2011","Quarter 1","..Region II (Cagayan Valley)",610,73724,545025,444,40766,294631,102,28719,216042,20,4239,22529,44,..,11821,1,..,20,4,..,2107
"2011","Quarter 1","..Region III (Central Luzon)",3270,604190,4660402,2416,333917,2550840,449,256202,1741791,138,14071,74319,267,..,293451,..,..,..,32,..,6184
"2011","Quarter 1","..Region IV-A (CALABARZON)",7308,986576,8309158,5602,641454,5050434,573,300754,2574778,749,44368,339356,384,..,344588,1,..,20,43,..,19368
"2011","Quarter 1","..MIMAROPA Region",560,99439,695430,353,35496,250127,177,62868,430732,12,1075,5888,18,..,8682,1,..,86,1,..,480
"2011","Quarter 1","..Region V (Bicol Region)",656,104311,990571,509,62628,373019,96,39291,553686,10,2392,14248,41,..,49616,..,..,..,2,..,1424
"2011","Quarter 1","..Region VI (Western Visayas)",1512,216079,2857142,1199,129407,1098292,224,81728,760759,23,4944,34259,66,..,963831,2,..,..,26,..,10399
"2011","Quarter 1","..Region VII (Central Visayas)",3284,496610,3392858,2626,229225,1368869,499,255004,1780807,57,12381,82750,102,..,160430,..,..,..,19,..,7994
"2011","Quarter 1","..Region VIII (Eastern Visayas)",583,108745,1027259,370,38478,284394,110,67985,668305,20,2282,14697,83,..,59862,..,..,..,9,..,638
"2011","Quarter 1","..Region IX (Zamboanga Peninsula)",808,59929,425901,627,34284,193714,139,24285,212861,18,1360,7680,24,..,11644,..,..,..,..,..,..
"2011","Quarter 1","..Region X (Northern Mindanao)",1532,259347,2996226,1288,100908,660240,173,155381,2267367,18,3058,27762,53,..,40856,..,..,..,11,..,8094
"2011","Quarter 1","..Region XI (Davao Region)",2313,314004,2307268,1758,99129,668833,262,180743,1259584,72,34132,193674,221,..,185175,3,..,467,11,..,1218
"2011","Quarter 1","..Region XII (SOCCSKSARGEN)",530,103852,674773,297,25600,177763,180,74744,445229,16,3508,21262,37,..,30517,1,..,10,..,..,..
"2011","Quarter 1","..Region XIII (Caraga)",636,60021,310631,497,35161,176055,89,23563,112718,14,1297,5749,36,..,16108,..,..,..,1,..,76
"2011","Quarter 1","..Autonomous Region in Muslim Mindanao (ARMM)",105,10295,39444,94,7645,28241,8,2650,11168,..,..,..,3,..,35,..,..,..,1,..,758
"2011","Quarter 1","..Negros Island Region",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"2011","Quarter 2","PHILIPPINES",29202,5563094,57696320,21219,2985614,24103764,3654,2358643,28979505,1539,218837,1525156,2790,..,3087894,88,..,3815,297,..,201374
"2011","Quarter 2","..National Capital Region (NCR)",3703,1577275,25958838,2020,838388,7928020,412,682715,16126285,209,56172,386632,1062,..,1517899,76,..,3104,75,..,81913
"2011","Quarter 2","..Cordillera Administrative Region (CAR)",291,69330,638484,218,33356,288347,52,33486,320859,12,2488,20201,9,..,9075,..,..,..,1,..,123
"2011","Quarter 2","..Region I (Ilocos Region)",2186,249844,1807630,1732,168334,1187105,278,76592,513156,70,4918,38515,106,..,68852,2,..,100,60,..,14993
"2011","Quarter 2","..Region II (Cagayan Valley)",819,98951,795560,590,47045,318395,104,39553,381760,34,12353,59880,91,..,35523,1,..,26,..,..,..
"2011","Quarter 2","..Region III (Central Luzon)",3183,656979,5061067,2317,371103,2834131,415,257173,1759787,131,28703,146742,320,..,320406,3,..,183,24,..,16285
"2011","Quarter 2","..Region IV-A (CALABARZON)",6227,905765,7813494,4467,520226,4271433,517,317462,2615141,788,68077,559162,455,..,367757,1,..,25,52,..,23598
"2011","Quarter 2","..MIMAROPA Region",393,72418,1241655,291,33191,264540,86,38033,965086,6,1194,8567,10,..,3461,..,..,..,..,..,..
"2011","Quarter 2","..Region V (Bicol Region)",694,158038,1019849,539,70692,429757,92,85255,520105,5,2091,19950,58,..,50036,..,..,..,..,..,..
"2011","Quarter 2","..Region VI (Western Visayas)",1169,168146,1581132,864,108949,931092,192,55482,409397,24,3715,27026,89,..,213615,4,..,135,29,..,14018
"2011","Quarter 2","..Region VII (Central Visayas)",3565,920791,6686782,2882,435947,3184928,511,471057,3315076,59,13787,102220,113,..,84557,1,..,240,25,..,22224
"2011","Quarter 2","..Region VIII (Eastern Visayas)",515,86038,775158,317,40857,294238,95,43244,300677,15,1937,15197,88,..,165044,..,..,..,9,..,19488
"2011","Quarter 2","..Region IX (Zamboanga Peninsula)",754,71366,432045,542,36447,229958,160,33735,179603,14,1184,8342,38,..,14141,..,..,..,..,..,..
"2011","Quarter 2","..Region X (Northern Mindanao)",1320,132968,1100859,1073,68926,498875,186,60405,513993,21,3637,33583,40,..,54406,..,..,..,1,..,999
"2011","Quarter 2","..Region XI (Davao Region)",2925,215694,1718711,2341,131330,965916,256,71984,550767,108,12380,71868,220,..,130159,..,..,..,11,..,3712
"2011","Quarter 2","..Region XII (SOCCSKSARGEN)",572,93482,566755,343,32005,215414,162,58827,316316,16,2650,11325,51,..,23699,..,..,..,4,..,1479
"2011","Quarter 2","..Region XIII (Caraga)",804,76192,467448,610,42309,237628,131,30412,184775,26,3471,15892,37,..,29151,..,..,..,6,..,2536
"2011","Quarter 2","..Autonomous Region in Muslim Mindanao (ARMM)",82,9817,30845,73,6509,23978,5,3228,6716,1,80,46,3,..,105,..,..,..,..,..,..
"2011","Quarter 2","..Negros Island Region",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"2011","Quarter 3","PHILIPPINES",28367,5107788,52177966,20376,2635048,22439750,3892,2267794,21747385,1425,204946,3683900,2674,..,4306929,93,..,13322,301,..,204608
"2011","Quarter 3","..National Capital Region (NCR)",3122,1335685,19031984,1571,709927,8506080,372,565584,7819839,211,60174,500594,968,..,2205471,74,..,9197,69,..,15563
"2011","Quarter 3","..Cordillera Administrative Region (CAR)",355,73683,671839,264,46673,390387,51,24648,213477,17,2362,17000,23,..,50974,..,..,..,..,..,..
"2011","Quarter 3","..Region I (Ilocos Region)",1585,186431,1552322,1190,108109,844571,241,72238,576620,69,6084,57177,85,..,73952,..,..,..,39,..,8308
"2011","Quarter 3","..Region II (Cagayan Valley)",544,70737,508195,400,38083,288361,73,28144,190277,24,4510,18040,47,..,11515,2,..,122,2,..,2458
"2011","Quarter 3","..Region III (Central Luzon)",3249,633917,4740938,2412,312498,2142309,452,297173,2307651,102,24246,121377,283,..,169600,1,..,94,30,..,17477
"2011","Quarter 3","..Region IV-A (CALABARZON)",5764,985631,10666859,4090,512463,4012544,547,410106,3623776,694,63062,2686762,433,..,343776,4,..,3630,59,..,42467
"2011","Quarter 3","..MIMAROPA Region",562,78041,578664,413,44882,319812,131,30734,231040,13,2425,23248,5,..,4563,..,..,..,2,..,5460
"2011","Quarter 3","..Region V (Bicol Region)",623,118065,762543,472,63356,360942,111,54247,341175,5,462,4197,35,..,56227,..,..,..,3,..,2112
"2011","Quarter 3","..Region VI (Western Visayas)",1753,235996,2297354,1340,148210,1138349,282,82681,632119,27,5105,31702,104,..,495182,4,..,177,49,..,11902
"2011","Quarter 3","..Region VII (Central Visayas)",3176,545094,3754841,2500,251289,1620780,526,286555,1992116,48,7250,51118,102,..,90825,6,..,1,16,..,5354
"2011","Quarter 3","..Region VIII (Eastern Visayas)",693,82498,765634,434,47228,379900,160,31425,309528,24,3845,30313,75,..,45892,..,..,..,5,..,16074
"2011","Quarter 3","..Region IX (Zamboanga Peninsula)",829,73788,488123,591,41212,259576,156,30996,203142,26,1580,8797,56,..,16606,..,..,..,..,..,..
"2011","Quarter 3","..Region X (Northern Mindanao)",1705,180547,1517533,1341,98585,715405,183,79223,654021,29,2739,27963,152,..,120143,..,..,..,9,..,5152
"2011","Quarter 3","..Region XI (Davao Region)",2720,291935,2809577,2137,136014,1036977,288,142178,1168369,98,13743,57380,197,..,546849,1,..,48,6,..,74
"2011","Quarter 3","..Region XII (SOCCSKSARGEN)",582,91914,654731,343,30902,207760,153,55449,360005,16,5563,36528,70,..,50437,..,..,..,..,..,..
"2011","Quarter 3","..Region XIII (Caraga)",1060,121026,1364244,838,43308,208921,165,76062,1122230,21,1656,10998,36,..,22095,1,..,50,11,..,72178
"2011","Quarter 3","..Autonomous Region in Muslim Mindanao (ARMM)",45,2800,12577,40,2309,7068,1,351,1994,1,140,700,3,..,2814,..,..,..,1,..,25
"2011","Quarter 3","..Negros Island Region",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"2011","Quarter 4","PHILIPPINES",25258,4772738,45782047,17878,2671163,24542442,3537,1923119,16350716,1187,178456,1592701,2656,..,3296186,114,..,7503,313,..,192620
"2011","Quarter 4","..National Capital Region (NCR)",2756,1305328,16933177,1264,980334,11882001,340,272892,2556966,150,52102,483764,1002,..,2010444,101,..,2334,54,..,17062
"2011","Quarter 4","..Cordillera Administrative Region (CAR)",261,63726,610522,174,31959,285539,52,29292,290490,13,2475,19005,22,..,15487,..,..,..,..,..,..
"2011","Quarter 4","..Region I (Ilocos Region)",1543,179073,1431881,1224,113725,899269,200,61462,454330,57,3886,32146,62,..,46134,1,..,900,46,..,8426
"2011","Quarter 4","..Region II (Cagayan Valley)",528,56502,469787,413,31401,247338,71,23463,202330,15,1638,8030,29,..,12088,1,..,8,3,..,6100
"2011","Quarter 4","..Region III (Central Luzon)",2285,439661,3537603,1563,226057,1841220,369,189387,1269701,102,24217,201037,251,..,225643,4,..,2057,12,..,5758
"2011","Quarter 4","..Region IV-A (CALABARZON)",5588,832313,6512655,4128,531088,3958994,518,254502,1857593,563,46723,437845,379,..,258221,2,..,1883,98,..,85737
"2011","Quarter 4","..MIMAROPA Region",372,49007,387368,253,26614,167040,101,21543,209214,6,850,5288,12,..,5824,..,..,..,1,..,844
"2011","Quarter 4","..Region V (Bicol Region)",684,104665,849973,517,50348,321749,103,52812,454322,9,1505,18551,55,..,55351,..,..,..,1,..,1310
"2011","Quarter 4","..Region VI (Western Visayas)",1214,211763,1707749,868,113723,972637,208,96306,592519,11,1734,8514,127,..,134079,2,..,20,30,..,9404
"2011","Quarter 4","..Region VII (Central Visayas)",3072,735089,5212148,2377,226066,1536409,495,498141,3502026,51,10882,81957,149,..,91755,..,..,..,28,..,5896
"2011","Quarter 4","..Region VIII (Eastern Visayas)",532,80523,819568,303,32957,243531,142,46097,520358,17,1469,9851,70,..,45827,1,..,100,7,..,771
"2011","Quarter 4","..Region IX (Zamboanga Peninsula)",783,64565,463382,593,32577,192440,125,27818,221053,24,4170,32872,41,..,17015,..,..,..,3,..,5259
"2011","Quarter 4","..Region X (Northern Mindanao)",1803,167220,2173229,1444,88073,567190,195,74902,1431501,36,4245,59120,128,..,115416,..,..,..,2,..,4347
"2011","Quarter 4","..Region XI (Davao Region)",2027,261637,3042636,1399,102373,962304,280,141121,1695630,96,18143,171183,252,..,213517,2,..,200,4,..,20147
"2011","Quarter 4","..Region XII (SOCCSKSARGEN)",623,118881,888685,390,38596,256328,178,78628,597032,11,1657,8846,44,..,26478,..,..,..,7,..,6717
"2011","Quarter 4","..Region XIII (Caraga)",1156,101189,730834,943,44507,206057,158,54058,492047,24,2624,12337,31,..,20392,..,..,..,17,..,14837
"2011","Quarter 4","..Autonomous Region in Muslim Mindanao (ARMM)",31,1596,10843,25,765,2389,2,695,3596,2,136,2348,2,..,2508,..,..,..,..,..,..
"2011","Quarter 4","..Negros Island Region",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"2010","Annual","PHILIPPINES",113230,22144087,200297164,86185,12196450,102943619,13237,9273089,82722312,4784,674548,4761141,9024,..,9870090,340,..,85770,1109,..,761002
"2010","Annual","..National Capital Region (NCR)",14623,8728525,99460928,7992,4727256,50946330,1888,3783716,41172174,895,217553,1843120,3848,..,5499302,276,..,16292,240,..,210900
"2010","Annual","..Cordillera Administrative Region (CAR)",1117,292761,2751245,772,134899,1159299,210,145706,1416277,66,12156,94267,69,..,81400,..,..,..,4,..,3052
"2010","Annual","..Region I (Ilocos Region)",6643,766437,5804223,5344,515095,3650198,898,233494,1854423,163,17848,111241,238,..,188359,3,..,1402,212,..,85311
"2010","Annual","..Region II (Cagayan Valley)",2429,308970,1948337,1875,161599,1009236,327,143807,857094,36,3564,22639,191,..,59366,3,..,456,..,..,..
"2010","Annual","..Region III (Central Luzon)",14541,1918998,14323571,11433,1152123,7953570,1528,712516,5308905,466,54359,277151,1114,..,783943,6,..,1362,109,..,92149
"2010","Annual","..Region IV-A (CALABARZON)",29379,3634086,28224352,23751,2337473,17786202,1988,1116205,8242337,2268,180408,1208269,1372,..,987542,4,..,368,208,..,96699
"2010","Annual","..MIMAROPA Region",2142,319089,2143207,1751,188153,1230327,324,120393,817397,28,10543,68074,39,..,27407,..,..,..,6,..,9572
"2010","Annual","..Region V (Bicol Region)",2041,371545,2424188,1537,205099,1177959,330,162465,1071818,20,3981,27511,154,..,146898,..,..,..,..,..,..
"2010","Annual","..Region VI (Western Visayas)",4042,944411,7530487,3120,413459,3268738,642,519851,3749891,65,11101,72400,215,..,439456,28,..,55160,120,..,58885
"2010","Annual","..Region VII (Central Visayas)",13061,1954444,13933199,10543,1125714,7174592,1703,802671,6091927,141,26059,196345,674,..,470334,..,..,..,87,..,53842
"2010","Annual","..Region VIII (Eastern Visayas)",2165,299303,2167658,1502,162963,1138368,362,101165,625325,64,35175,227253,237,..,176710,1,..,50,30,..,5167
"2010","Annual","..Region IX (Zamboanga Peninsula)",1765,139755,966548,1464,85800,396988,224,50773,511226,31,3182,30734,46,..,27598,..,..,..,3,..,60
"2010","Annual","..Region X (Northern Mindanao)",6346,638533,4620304,5476,316371,1841644,650,314907,2137720,81,7255,47655,139,..,593284,2,..,1088,15,..,5055
"2010","Annual","..Region XI (Davao Region)",7938,1077963,8665568,6030,390408,2629956,1195,637791,5443258,301,49764,350848,412,..,241505,8,..,1438,47,..,90732
"2010","Annual","..Region XII (SOCCSKSARGEN)",2183,449001,3645280,1299,118342,775543,596,296673,2627506,91,33986,132908,197,..,109320,7,..,7710,11,..,4195
"2010","Annual","..Region XIII (Caraga)",2585,264146,1578642,2100,144182,740386,351,112695,756258,60,7269,45860,74,..,36136,2,..,440,12,..,43472
"2010","Annual","..Autonomous Region in Muslim Mindanao (ARMM)",230,36120,109422,196,17514,64273,21,18261,38769,8,345,4858,5,..,1522,..,..,..,5,..,1903
"2010","Annual","..Negros Island Region",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"2010","Quarter 1","PHILIPPINES",33092,5699627,52278958,25958,2995143,24197746,3339,2541601,24144860,1372,162883,1247106,2423,..,2689245,123,..,51268,279,..,225516
"2010","Quarter 1","..National Capital Region (NCR)",4036,2110429,26253513,2342,1005645,10336169,524,1045751,14109526,270,59033,580204,900,..,1227612,89,..,2201,64,..,45034
"2010","Quarter 1","..Cordillera Administrative Region (CAR)",266,71260,625506,188,37350,335003,38,30108,218590,19,3802,32177,21,..,39735,..,..,..,1,..,415
"2010","Quarter 1","..Region I (Ilocos Region)",1890,229184,1744829,1572,156380,1126409,208,68070,514311,45,4734,28685,65,..,75424,1,..,150,56,..,15107
"2010","Quarter 1","..Region II (Cagayan Valley)",627,69114,511139,473,41677,282008,102,26926,209586,6,511,4169,46,..,15375,1,..,417,..,..,..
"2010","Quarter 1","..Region III (Central Luzon)",6357,576179,3990285,5407,392956,2542577,400,163512,1173594,187,19711,85791,363,..,188321,2,..,550,28,..,39731
"2010","Quarter 1","..Region IV-A (CALABARZON)",8275,989362,7870657,6751,553120,4389135,499,390011,2885542,632,46231,339848,393,..,256131,..,..,..,41,..,20657
"2010","Quarter 1","..MIMAROPA Region",445,81028,499820,362,43905,270340,69,31011,192760,8,6112,32068,6,..,4649,..,..,..,2,..,364
"2010","Quarter 1","..Region V (Bicol Region)",466,126110,781079,353,49845,284435,69,73834,452271,7,2431,14531,37,..,29841,..,..,..,..,..,..
"2010","Quarter 1","..Region VI (Western Visayas)",942,302381,1994431,725,91418,725257,133,208075,1200450,16,2888,12231,68,..,56491,20,..,44183,28,..,10936
"2010","Quarter 1","..Region VII (Central Visayas)",3853,504964,3620862,3183,322012,2148276,417,180077,1314722,28,2875,16486,225,..,141377,..,..,..,18,..,8113
"2010","Quarter 1","..Region VIII (Eastern Visayas)",630,83062,528405,464,45649,320494,94,34828,173589,17,2585,8914,55,..,25406,..,..,..,6,..,1722
"2010","Quarter 1","..Region IX (Zamboanga Peninsula)",483,37373,216772,370,24973,122637,85,11527,64199,8,873,12367,20,..,17567,..,..,..,2,..,40
"2010","Quarter 1","..Region X (Northern Mindanao)",1527,135284,1264763,1303,70404,364693,173,63076,368445,16,1804,11472,35,..,520152,2,..,1088,4,..,464
"2010","Quarter 1","..Region XI (Davao Region)",2076,247294,1581443,1572,94773,602097,332,147013,874524,77,5508,49721,95,..,55099,5,..,1317,21,..,81911
